A1	A2	angle	radius
1022.35394	-377.2707	88.0042822890337	523.046562978166
1094.0919	-379.23987	81.6246447447251	526.373867039978
1040.8732	-406.04984	86.1425863465456	495.071716692818
1058.6196	-418.289	84.3371314778931	484.073410472513
1087.7905	-425.38675	81.4286659059856	479.974045540094
1111.2855	-443.9285	78.7545735695602	464.999087130778
1096.0162	-442.05246	80.3048747782696	464.582804149866
1139.0919	-416.29193	76.8128432300126	496.808888163112
1177.1364	-463.69092	71.6948804249019	459.564216097095
1244.5002	-544.0237	60.7655114771424	407.935792582547
1323.0221	-580.5141	50.5161227594409	413.947180171457
1328.005	-594.81506	48.7889517818561	405.675736034512
1378.0236	-607.19586	43.5483125187235	424.990711138567
1366.9777	-636.7642	41.357440082726	398.386697289003
1384.484	-657.6921	37.7190183595995	396.064078621119
1394.4485	-679.719	34.424752609001	389.654833664424
1407.5449	-698.4078	31.2597782655081	388.484793900203
1411.6456	-726.80774	27.3088101070242	377.501033456458
1427.5364	-759.9307	21.9032723745704	375.479866223677
1440.9878	-770.557	19.8104234948904	381.940190422522
1431.5511	-786.1787	17.9357501929566	369.609300640526
1452.4944	-800.3383	15.1253990582586	381.944410061671
1470.8055	-834.86914	9.63544184808989	389.122914331867
864.62213	-339.68198	101.137602640582	571.073560984118
893.6571	-362.57224	99.1593406778292	544.368747664418
925.3703	-368.01306	96.5211964634118	535.451359379052
965.2166	-377.95444	93.1076707868033	522.814399741498
1039.109	-410.78662	86.2729708809664	490.250227696582
978.76056	-387.03464	91.9323592461332	513.257233321734
1005.0628	-403.9612	89.5235002403029	496.05595450687
1038.2268	-426.35483	86.2374051009459	474.668307057344
1049.1527	-427.60504	85.1537894640939	474.089808866135
1073.7025	-446.4126	82.4577646381142	457.545915599262
1091.8569	-456.33374	80.4240330984782	449.935707956092
1125.0748	-429.75516	77.7713656744274	481.162336464218
1157.909	-500.88837	72.1309717266177	419.340441296422
1226.6162	-510.08325	64.658668607621	431.431681189857
1313.5948	-590.08405	50.4938238436499	401.676540131364
1331.9688	-578.87555	49.8904834980499	419.872387079681
1337.4927	-614.2867	46.0941558513569	396.559444789206
1408.6671	-576.5485	44.1666314170794	464.230610985306
1349.9219	-651.501	41.0728827317024	378.222214190166
1372.7349	-657.4922	38.6058090007107	388.659938327498
1381.1292	-684.0349	34.814859012217	378.271280716893
1386.992	-705.48016	31.6687982751332	370.508162442048
1397.8676	-723.19	28.606841593848	369.27991053826
1410.2683	-759.90027	22.7374643641022	362.474515818141
1410.0095	-779.3436	19.8569283727107	355.213814325186
1424.3806	-804.7452	15.4006797545658	358.683875431757
1434.8853	-820.6295	12.6247519984905	363.143984814414
1435.9222	-837.6201	9.96041278212142	360.644778903621
1456.0288	-847.0744	8.10606387647735	375.342866729914
819.8897	-344.80988	104.807176156019	574.260515235071
863.9517	-352.98254	101.456371795547	558.137666318347
890.1089	-374.68448	99.6735439198249	532.892633393373
914.0641	-382.95697	97.7127827211525	521.763274894667
955.72687	-394.89877	94.0852863799864	506.387905642303
1028.9053	-475.40924	86.8248838554121	425.243545580429
970.09656	-398.7262	92.7829281000435	501.865676135547
1016.6852	-435.0187	88.3251737069075	465.180025868532
1024.7083	-410.34387	87.64546764252	490.069873272581
1024.9984	-396.1187	87.6850313281744	504.292865261123
972.9658	-412.23273	92.5858505099993	488.264449212201
1025.8977	-411.33322	87.5272728848945	489.122215725532
1019.983	-436.93317	87.9861103278148	463.353025875594
1044.561	-447.50378	85.412163238139	453.95073201283
1036.4188	-447.57672	86.2471900788246	453.395489357168
1078.8081	-456.08496	81.7687405483623	448.535734885274
1039.0665	-496.56445	85.4884163747965	404.689500196538
1072.5818	-472.78	82.1182598188043	431.29434463147
1057.277	-492.01614	83.4739405266615	410.644728835437
1113.9312	-491.67465	77.1910593183141	418.745938525264
1158.8721	-525.28613	70.9409973901754	396.445922388803
1249.2936	-536.2695	60.8175875212024	416.610070645138
1246.6381	-556.2997	59.6839040803621	398.145142752696
1311.8188	-571.4873	52.280299821178	415.306205232006
1299.5491	-620.6114	48.8581230307951	370.993241519925
1322.194	-620.73505	46.7683037155	383.295156989486
1335.6691	-644.7406	43.0223467527225	374.125095737633
